"","Accuracy","Recall","Precision","F1","FPR","sensitivity"
"1",1,1,1,1,-0.333333333333333,1
"2",0.966666666666667,0.857142857142857,1,0.923076923076923,-0.319444444444444,0.966666666666667
"3",0.833333333333333,0.857142857142857,1,0.923076923076923,-0.238235294117647,0.833333333333333
"4",0.833333333333333,1,1,1,-0.25,0.833333333333333
"5",0.7,0.75,0.5,0.6,-0.204678362573099,0.7
"6",0.766666666666667,1,0.666666666666667,0.8,-0.215277777777778,0.766666666666667
"7",0.766666666666667,0.571428571428571,0.666666666666667,0.615384615384615,-0.220591003199699,0.766666666666667
"8",0.8,0.666666666666667,0.333333333333333,0.444444444444444,-0.226247987117552,0.8
"9",0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,-0.260869565217391,0.833333333333333
"10",0.633333333333333,0.666666666666667,0.333333333333333,0.444444444444444,-0.127946127946128,0.633333333333333
"11",0.666666666666667,0.555555555555556,0.833333333333333,0.666666666666667,-0.151393188854489,0.666666666666667
"12",0.733333333333333,0.625,0.833333333333333,0.714285714285714,-0.190740740740741,0.733333333333333
"13",0.7,0.8,0.666666666666667,0.727272727272727,-0.175777381659735,0.7
"14",0.666666666666667,1,0.666666666666667,0.8,-0.15771526001705,0.666666666666667
"15",0.733333333333333,0.625,0.833333333333333,0.714285714285714,-0.185294117647059,0.733333333333333
"16",0.8,0.8,0.666666666666667,0.727272727272727,-0.227513227513227,0.8
"17",0.633333333333333,0.6,0.5,0.545454545454545,-0.14722797331493,0.633333333333333
"18",0.7,0.666666666666667,0.333333333333333,0.444444444444444,-0.162745098039216,0.7
"19",0.633333333333333,0.5,0.666666666666667,0.571428571428572,-0.133528265107212,0.633333333333333
"20",0.966666666666667,1,1,1,-0.314814814814815,0.966666666666667
