"","Accuracy","Recall","Precision","F1","FPR","sensitivity"
"1",0.866666666666667,1,1,1,0.0416666666666667,0.866666666666667
"2",0.9,0.857142857142857,1,0.923076923076923,0.0331027667984189,0.9
"3",0.9,1,1,1,0.03125,0.9
"4",0.933333333333333,1,0.833333333333333,0.909090909090909,0.0255754475703325,0.933333333333333
"5",0.766666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.0910714285714286,0.766666666666667
"6",0.833333333333333,0.6,0.5,0.545454545454545,0.0625,0.833333333333333
"7",0.9,0.666666666666667,1,0.8,0.03125,0.9
"8",0.933333333333333,1,0.833333333333333,0.909090909090909,0.0255754475703325,0.933333333333333
"9",0.833333333333333,1,0.666666666666667,0.8,0.0674242424242424,0.833333333333333
"10",0.833333333333333,0.857142857142857,1,0.923076923076923,0.0559782608695653,0.833333333333333
"11",0.766666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.0946428571428571,0.766666666666667
"12",0.8,0.571428571428571,0.666666666666667,0.615384615384615,0.0751783550948983,0.8
"13",0.8,0.666666666666667,0.666666666666667,0.666666666666667,0.080465367965368,0.8
"14",0.833333333333333,1,0.666666666666667,0.8,0.0674242424242424,0.833333333333333
"15",0.833333333333333,0.75,0.5,0.6,0.0674872122762149,0.833333333333333
"16",0.9,0.666666666666667,1,0.8,0.03125,0.9
"17",0.833333333333333,1,0.5,0.666666666666667,0.0706845238095238,0.833333333333333
"18",0.766666666666667,0.5,0.5,0.5,0.0906152315998864,0.766666666666667
"19",0.866666666666667,0.714285714285714,0.833333333333333,0.769230769230769,0.0483497746924857,0.866666666666667
"20",0.833333333333333,0.625,0.833333333333333,0.714285714285714,0.0598145780051151,0.833333333333333
